,id,f1_score,precision,recall,accuracy,binary_cross_entropy,seed,circuit,learning_rate,loss_history,val_loss_history,val_f1s,scaler
32,32,0.6834061135371179,0.5190713101160862,1.0,0.5238095238095238,0.683623194694519,4,DoubleEntanglementCircuit,0.001,"[0.7271009232652815, 0.7080254239079199, 0.70271438007292, 0.7006012185623771, 0.6991766695129243, 0.6978362712420916, 0.6964984314614221, 0.6951442941239006, 0.6937997888185476, 0.6923697335939658, 0.6909631984798532, 0.6896866787421075, 0.6882778484570352, 0.6869605056157237, 0.6855819082181704, 0.6842703272245432]","[0.7140166163444519, 0.7045479416847229, 0.7017150521278381, 0.7001472115516663, 0.6986545920372009, 0.6972679495811462, 0.6958560943603516, 0.6944352388381958, 0.693004310131073, 0.6915832161903381, 0.6901528239250183, 0.6887202858924866, 0.6872994303703308, 0.6858950853347778, 0.6844884157180786, 0.6830856204032898]","[0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6804123711340206, 0.6807817589576547, 0.6822633297062024]",MinMaxScaler
33,33,0.8075657894736842,0.8322033898305085,0.7843450479233227,0.8078817733990148,0.4498675465583801,4,AmplitudeEncodingCircuit,0.1,"[0.49967842088326025, 0.47604116856267575, 0.4759589656207122, 0.47601456822533356, 0.4758421617413038, 0.47583989210818944, 0.4774288354735625, 0.47567402105778456, 0.47560271512913077, 0.4757471326738596, 0.47559062715031597, 0.47647589033371524, 0.47588750161230564, 0.47634361576485007, 0.47639373430099924, 0.47605255814759356]","[0.47876647114753723, 0.4701542556285858, 0.46997585892677307, 0.46976983547210693, 0.475638210773468, 0.4700743854045868, 0.4721527099609375, 0.4730793833732605, 0.47118058800697327, 0.4704909324645996, 0.4700404107570648, 0.4699598252773285, 0.46986880898475647, 0.47112610936164856, 0.47095969319343567, 0.46993494033813477]","[0.7656652360515022, 0.7987470634299139, 0.7981220657276995, 0.7987321711568938, 0.7726120033812341, 0.7981220657276995, 0.8030651340996169, 0.8060836501901141, 0.802784222737819, 0.799061767005473, 0.7980769230769231, 0.7968, 0.8006279434850864, 0.7878787878787878, 0.802784222737819, 0.7974379503602882]",MinMaxScaler
34,34,0.8123980424143556,0.83,0.7955271565495208,0.8111658456486043,0.4504098892211914,4,AmplitudeEncodingCircuit,0.01,"[0.6154129271836657, 0.5419443583017901, 0.5071898444898819, 0.4904700661764333, 0.48255762026498195, 0.4782109912484884, 0.47666511419964464, 0.4747319369527854, 0.4744598222406287, 0.47421312596845, 0.4738572630050935, 0.4742880144009465, 0.47373437528547485, 0.4739405925532705, 0.47415270259309755, 0.4738673074170947]","[0.5696250200271606, 0.520210325717926, 0.49609169363975525, 0.4847782552242279, 0.47829753160476685, 0.4745995104312897, 0.47260117530822754, 0.4714756906032562, 0.47206833958625793, 0.47053998708724976, 0.47030505537986755, 0.4701572060585022, 0.47057783603668213, 0.4701375961303711, 0.4702274203300476, 0.4699772000312805]","[0.7841845140032949, 0.7974379503602882, 0.7872860635696821, 0.8021806853582555, 0.7984375, 0.799373040752351, 0.8015810276679842, 0.7987321711568938, 0.8024691358024691, 0.8, 0.7993630573248408, 0.7977795400475813, 0.7984375, 0.8006279434850864, 0.7981220657276995, 0.8025276461295419]",MinMaxScaler
35,35,0.8066666666666666,0.8432055749128919,0.7731629392971247,0.8095238095238095,0.523658812046051,4,AmplitudeEncodingCircuit,0.001,"[0.6926287167558545, 0.6539360318136843, 0.6360270918199891, 0.6245135355152582, 0.6144040717106116, 0.6045674377758252, 0.595326877934368, 0.5861360573847043, 0.5776696814910361, 0.5695289471431783, 0.5618469422977221, 0.554805285836521, 0.5481142524237695, 0.5419828307471777, 0.5364725788761127, 0.5311058763610689]","[0.6685073375701904, 0.6436964869499207, 0.6304749250411987, 0.6201435327529907, 0.6101732850074768, 0.6006979942321777, 0.5914909243583679, 0.5826741456985474, 0.5743142366409302, 0.5663696527481079, 0.5588589310646057, 0.5519586205482483, 0.545527994632721, 0.539574384689331, 0.534041702747345, 0.5289598107337952]","[0.6793066088840737, 0.759621451104101, 0.808095952023988, 0.7974379503602882, 0.7784232365145228, 0.7773144286905754, 0.7748953974895397, 0.7790697674418605, 0.782824112303881, 0.782824112303881, 0.782824112303881, 0.7855382087099425, 0.7872340425531915, 0.7872340425531915, 0.7872860635696821, 0.7879772542648253]",MinMaxScaler
36,36,0.6275579809004093,0.5476190476190477,0.7348242811501597,0.5517241379310345,0.6871814727783203,5,QuantumCircuit,0.1,"[0.694678750673407, 0.6943079309636041, 0.6957870194394338, 0.6933085710594529, 0.6943922878095978, 0.6939792299741193, 0.6947002752046836, 0.6933710610395983, 0.6934193072742537, 0.6919893087132981, 0.692739722956168, 0.6941736515023207, 0.6937084270543173, 0.6922272496709698, 0.6949014495077886, 0.6928568333387375]","[0.6917106509208679, 0.6958773136138916, 0.692002534866333, 0.6926142573356628, 0.6964579224586487, 0.693862795829773, 0.6962741613388062, 0.6926699876785278, 0.6930937767028809, 0.6958025693893433, 0.6916438937187195, 0.7000633478164673, 0.6921168565750122, 0.7074524760246277, 0.6967204809188843, 0.6916648149490356]","[0.6063902107409925, 0.37154989384288745, 0.621656050955414, 0.5438455349959774, 0.6766004415011038, 0.6445497630331753, 0.309662398137369, 0.6346272335181762, 0.6570438799076213, 0.4036885245901639, 0.6017820424948594, 0.19895287958115182, 0.6039268788083954, 0.6793066088840737, 0.6765350877192983, 0.6053169734151329]",MinMaxScaler
37,37,0.6208333333333333,0.5491400491400491,0.7140575079872205,0.5517241379310345,0.6869949102401733,5,QuantumCircuit,0.01,"[0.6959089056441659, 0.6924855175771212, 0.6915708272472808, 0.6909921833951223, 0.6907091979917727, 0.6906527065132794, 0.6903742673365694, 0.6906626532344442, 0.6903924820454497, 0.6902691074892094, 0.6905304081737995, 0.6904867252236918, 0.6904384191883238, 0.6899723147875384, 0.6904365436026925, 0.6903171864779372]","[0.6928831338882446, 0.6922199130058289, 0.6917412877082825, 0.6915802955627441, 0.6918159127235413, 0.691776692867279, 0.6915795207023621, 0.691677451133728, 0.691677987575531, 0.6919887661933899, 0.6917187571525574, 0.6924840211868286, 0.6918827891349792, 0.6921409964561462, 0.691798985004425, 0.6917492151260376]","[0.6793066088840737, 0.5470355731225296, 0.657423454650491, 0.5935018050541516, 0.6343825665859564, 0.558667676003028, 0.6060200668896321, 0.6099476439790575, 0.6035182679296346, 0.6291432145090682, 0.6041807147673635, 0.5269262634631318, 0.575037147102526, 0.6352941176470588, 0.6098360655737705, 0.6038781163434903]",MinMaxScaler
38,38,0.66548463356974,0.5281425891181989,0.8993610223642172,0.535303776683087,0.6913396716117859,5,QuantumCircuit,0.001,"[0.712725826980252, 0.6975052986097964, 0.6952183230927116, 0.694742268637607, 0.6944024788313791, 0.6940980518334791, 0.6938264595442697, 0.6936075289390589, 0.693316174376952, 0.6931339237642916, 0.6928884516421118, 0.6926975697278976, 0.6924876280521092, 0.6923174793390852, 0.6921435725924215, 0.6920304737592998]","[0.6998105049133301, 0.6949894428253174, 0.6942445039749146, 0.694007396697998, 0.6937881112098694, 0.693575382232666, 0.6933810710906982, 0.6932145953178406, 0.6930365562438965, 0.6928960084915161, 0.692747175693512, 0.6926305294036865, 0.6925044059753418, 0.6923792362213135, 0.6922740340232849, 0.6922067403793335]","[0.677542142468733, 0.6685236768802229, 0.62590799031477, 0.6438679245283019, 0.62590799031477, 0.6636311895276039, 0.6761487964989059, 0.6768392370572207, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6793066088840737, 0.6786492374727668, 0.6793066088840737, 0.6776496430532675, 0.6505882352941177]",MinMaxScaler
39,39,0.8040435458786936,0.7833333333333333,0.8258785942492013,0.7931034482758621,0.4925573170185089,5,DoubleEntanglementCircuit,0.1,"[0.5692038930168277, 0.5046666265514336, 0.49932588303559705, 0.49931561221417625, 0.4993777070194483, 0.499329202171219, 0.49885637597425986, 0.4991739881960185, 0.49885931258138855, 0.4994015623080103, 0.49887071510678843, 0.49958783564598935, 0.4997784042436826, 0.49837872042859854, 0.49939271170449884, 0.49851080422338684]","[0.5078267455101013, 0.49205777049064636, 0.4954388439655304, 0.48815298080444336, 0.48903053998947144, 0.48786425590515137, 0.489652156829834, 0.4902579188346863, 0.4878016710281372, 0.48974859714508057, 0.4877985715866089, 0.4875408113002777, 0.48797863721847534, 0.4919259250164032, 0.48828214406967163, 0.4879116714000702]","[0.8, 0.7728, 0.8078602620087336, 0.7901990811638591, 0.800601956358164, 0.781591263650546, 0.8008948545861297, 0.8032665181885672, 0.7901990811638591, 0.8017883755588674, 0.7867078825347759, 0.7832167832167832, 0.779607843137255, 0.8059040590405904, 0.7932875667429443, 0.789272030651341]",MinMaxScaler
40,40,0.799373040752351,0.7846153846153846,0.8146964856230032,0.7898193760262726,0.49622422456741333,5,DoubleEntanglementCircuit,0.01,"[0.6638961604943401, 0.628081633856422, 0.5995818119692174, 0.5771377980709076, 0.5593099754891897, 0.5451440884682693, 0.5339498030708024, 0.5255497724406029, 0.5182470032259038, 0.5129517646212327, 0.5091566340507645, 0.505727281793952, 0.5033211053202027, 0.5017118937286892, 0.5007044569050011, 0.49897313225818307]","[0.6436271667480469, 0.6110643744468689, 0.5854321122169495, 0.5645321607589722, 0.5482744574546814, 0.5350119471549988, 0.5247082114219666, 0.5163186192512512, 0.5101324319839478, 0.5051971077919006, 0.5004342794418335, 0.49723315238952637, 0.4949881136417389, 0.49394896626472473, 0.49186190962791443, 0.49062061309814453]","[0.8166431593794076, 0.8064280496712929, 0.8106936416184971, 0.8050221565731167, 0.8059040590405904, 0.7984905660377358, 0.8017883755588674, 0.7988032909498878, 0.8029739776951673, 0.8032665181885672, 0.7920489296636085, 0.7883435582822086, 0.7932875667429443, 0.7988032909498878, 0.7932875667429443, 0.7848882035466461]",MinMaxScaler
41,41,0.8146520146520146,0.7523680649526387,0.8881789137380192,0.7922824302134647,0.6245918273925781,5,DoubleEntanglementCircuit,0.001,"[0.682227653108145, 0.6774607396831638, 0.6731584238770761, 0.6689930787604106, 0.6648956562735533, 0.6608233410669001, 0.6568735547755894, 0.6530421440930743, 0.6491606755084113, 0.6454390934423396, 0.6417792900220344, 0.638131471448823, 0.6345672768197561, 0.6311537319500196, 0.6278019451389187, 0.6243066136774263]","[0.6794825196266174, 0.6750013828277588, 0.6706779599189758, 0.666483461856842, 0.6623445153236389, 0.6583064794540405, 0.6543062329292297, 0.6503773331642151, 0.6465416550636292, 0.6427550911903381, 0.6390607357025146, 0.635417103767395, 0.6318466663360596, 0.628352165222168, 0.6249073147773743, 0.6215197443962097]","[0.6928610957387936, 0.7435435435435436, 0.7883870967741935, 0.7981651376146789, 0.8121621621621622, 0.8122448979591836, 0.8107364074328974, 0.8168421052631579, 0.8154929577464789, 0.817923186344239, 0.8166189111747851, 0.8163558106169297, 0.813803019410496, 0.8163558106169297, 0.813803019410496, 0.809593023255814]",MinMaxScaler
42,42,0.6957163958641064,0.646978021978022,0.7523961661341853,0.6617405582922824,0.6064616441726685,5,AmplitudeEncodingCircuit,0.1,"[0.6108210807372081, 0.6027755508885572, 0.602974945483239, 0.6026616305308906, 0.6035089350648617, 0.6026868208458549, 0.6030254518907321, 0.6023231951617881, 0.6033412803356585, 0.6021164670390519, 0.6014526598155499, 0.6031589125724215, 0.6036668274747697, 0.6015795566337673, 0.603285577344267, 0.6029768716543913]","[0.6153234839439392, 0.6203198432922363, 0.6170510649681091, 0.617397129535675, 0.6169902086257935, 0.6175016760826111, 0.6159535646438599, 0.6156906485557556, 0.6150907874107361, 0.6161626577377319, 0.6157695055007935, 0.6174265742301941, 0.6159858107566833, 0.618674635887146, 0.6165345907211304, 0.6152279376983643]","[0.6882043576258452, 0.6486928104575164, 0.6991988346686089, 0.6991279069767442, 0.7035175879396985, 0.678407350689127, 0.6788990825688074, 0.6961000735835173, 0.690067214339059, 0.6882043576258452, 0.6973684210526315, 0.6629746835443038, 0.6793893129770993, 0.7160839160839161, 0.6853252647503782, 0.6882043576258452]",MinMaxScaler
43,43,0.692820133234641,0.6455172413793103,0.7476038338658147,0.6592775041050903,0.6066887378692627,5,AmplitudeEncodingCircuit,0.01,"[0.6688180928559679, 0.6201602824424443, 0.6061559399883998, 0.6017547650752884, 0.6010643035957688, 0.6009063683450222, 0.6005081235382118, 0.6002629823786648, 0.6005702372640371, 0.6002660303523666, 0.6001779353736263, 0.6003902460399427, 0.6004044072408425, 0.5999585959668222, 0.6004430435009693, 0.6004214357388648]","[0.6399165987968445, 0.6199234127998352, 0.6154406666755676, 0.6149130463600159, 0.6155149340629578, 0.6153853535652161, 0.6156252026557922, 0.6156448125839233, 0.6156170964241028, 0.6158713102340698, 0.6158079504966736, 0.6160135865211487, 0.6158480048179626, 0.6157488822937012, 0.6157552003860474, 0.6157578825950623]","[0.7160839160839161, 0.6983199415631848, 0.6904231625835189, 0.6862302483069977, 0.6974358974358974, 0.6910994764397905, 0.6910994764397905, 0.6882043576258452, 0.6857573474001507, 0.6904231625835189, 0.6848072562358276, 0.6793893129770993, 0.682370820668693, 0.6905294556301268, 0.690067214339059, 0.6852409638554217]",MinMaxScaler
44,44,0.7128712871287128,0.6395939086294417,0.805111821086262,0.6666666666666666,0.6180490851402283,5,AmplitudeEncodingCircuit,0.001,"[0.7119071291465509, 0.6998857759723538, 0.6890542665986639, 0.6791189858003667, 0.6702328363531515, 0.662156417769821, 0.6548747241889176, 0.6482897326350212, 0.6424895444590795, 0.6373040264374331, 0.6323892519270119, 0.6283480987737053, 0.6246933080255985, 0.6212196252063701, 0.6185985462445962, 0.6161772553858004]","[0.7047727704048157, 0.694146990776062, 0.6845260262489319, 0.6757649183273315, 0.668023943901062, 0.6610631346702576, 0.6548095345497131, 0.6493266820907593, 0.6444529891014099, 0.6401487588882446, 0.6363019347190857, 0.6329907178878784, 0.6301003098487854, 0.6275835633277893, 0.6254414916038513, 0.6235683560371399]","[0.6582278481012658, 0.6793066088840737, 0.693200663349917, 0.7076923076923077, 0.7177570093457943, 0.7231856133590238, 0.7294272547728768, 0.7253044654939107, 0.7224126113776559, 0.7178770949720671, 0.7153900210822206, 0.7092198581560284, 0.7056307911617962, 0.7043664996420902, 0.7039426523297491, 0.7012987012987013]",MinMaxScaler
45,45,0.7785016286644951,0.7940199335548173,0.7635782747603834,0.7766830870279147,0.44651591777801514,6,QuantumCircuit,0.1,"[0.5682957584136411, 0.486881572655157, 0.45996849925110217, 0.45036577266689976, 0.4436173657641599, 0.44103407820588664, 0.4406161863160761, 0.438470622720687, 0.4387691951307811, 0.4374331495185432, 0.43771463024773094, 0.4369547833737574, 0.43910078008316067, 0.4372788274562673, 0.4378492656703058, 0.43673513643443584]","[0.5071315765380859, 0.4652256369590759, 0.45562729239463806, 0.45289137959480286, 0.4422631561756134, 0.4391578137874603, 0.44380640983581543, 0.4376147985458374, 0.44016802310943604, 0.4376920759677887, 0.437370628118515, 0.4438546597957611, 0.44209060072898865, 0.4394662380218506, 0.45296481251716614, 0.4377378225326538]","[0.7784431137724551, 0.7910447761194029, 0.794162826420891, 0.7715289982425307, 0.7955974842767296, 0.7923904052936311, 0.7947530864197531, 0.7980691874497184, 0.7862531433361274, 0.7980769230769231, 0.7987065481002426, 0.7823878069432684, 0.785172704296546, 0.7949526813880127, 0.7716535433070866, 0.7990353697749196]",MinMaxScaler
